,x_O11_H_0,x_O11_H_1,x_O11_H_2,x_O11_H_3,x_O11_H_4,x_O11_H_5,x_O11_R_0,x_O11_R_1,x_O11_R_2,x_O11_R_3,x_O11_R_4,x_O11_R_5,x_O11_M_0,x_O11_M_1,x_O11_M_2,x_O11_M_3,x_O11_M_4,x_O11_M_5,x_O12_H_0,x_O12_H_1,x_O12_H_2,x_O12_H_3,x_O12_H_4,x_O12_H_5,x_O12_R_0,x_O12_R_1,x_O12_R_2,x_O12_R_3,x_O12_R_4,x_O12_R_5,x_O12_M_0,x_O12_M_1,x_O12_M_2,x_O12_M_3,x_O12_M_4,x_O12_M_5,x_O21_H_0,x_O21_H_1,x_O21_H_2,x_O21_H_3,x_O21_H_4,x_O21_H_5,x_O21_R_0,x_O21_R_1,x_O21_R_2,x_O21_R_3,x_O21_R_4,x_O21_R_5,x_O21_M_0,x_O21_M_1,x_O21_M_2,x_O21_M_3,x_O21_M_4,x_O21_M_5,x_O22_H_0,x_O22_H_1,x_O22_H_2,x_O22_H_3,x_O22_H_4,x_O22_H_5,x_O22_R_0,x_O22_R_1,x_O22_R_2,x_O22_R_3,x_O22_R_4,x_O22_R_5,x_O22_M_0,x_O22_M_1,x_O22_M_2,x_O22_M_3,x_O22_M_4,x_O22_M_5
x_O21_R_0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,22.5,22.5,22.5,22.5,22.5,20.0,20.0,20.0,20.0,20.0,20.0,12.5,12.5,0.0,0.0,0.0,0.0,27.5,27.5,2.5,2.5,2.5,2.5,12.5,12.5,0.0,0.0,0.0,0.0
x_O21_R_1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,22.5,0.0,22.5,22.5,22.5,22.5,20.0,20.0,20.0,20.0,20.0,20.0,12.5,12.5,12.5,0.0,0.0,0.0,27.5,27.5,27.5,2.5,2.5,2.5,12.5,12.5,12.5,0.0,0.0,0.0
x_O21_R_2,0.0,0.0,0.0,0.0,0.0,0.0,2.5,15.0,15.0,15.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,22.5,22.5,0.0,22.5,22.5,22.5,20.0,20.0,20.0,20.0,20.0,20.0,12.5,12.5,12.5,12.5,0.0,0.0,27.5,27.5,27.5,27.5,2.5,2.5,12.5,12.5,12.5,12.5,0.0,0.0
x_O21_R_3,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,15.0,15.0,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,22.5,22.5,22.5,0.0,22.5,22.5,20.0,20.0,20.0,20.0,20.0,20.0,12.5,12.5,12.5,12.5,12.5,0.0,27.5,27.5,27.5,27.5,27.5,2.5,12.5,12.5,12.5,12.5,12.5,0.0
x_O21_R_4,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,22.5,22.5,22.5,22.5,0.0,22.5,20.0,20.0,20.0,20.0,20.0,20.0,12.5,12.5,12.5,12.5,12.5,12.5,27.5,27.5,27.5,27.5,27.5,27.5,12.5,12.5,12.5,12.5,12.5,12.5
x_O21_R_5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,22.5,22.5,22.5,22.5,22.5,0.0,20.0,20.0,20.0,20.0,20.0,20.0,12.5,12.5,12.5,12.5,12.5,12.5,27.5,27.5,27.5,27.5,27.5,27.5,12.5,12.5,12.5,12.5,12.5,12.5
x_O21_M_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25.0,25.0,25.0,25.0,25.0,25.0
x_O21_M_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25.0,25.0,25.0,25.0,25.0
x_O21_M_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25.0,25.0,25.0,25.0
x_O21_M_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25.0,25.0,25.0
x_O21_M_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25.0,25.0
x_O21_M_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25.0
x_O22_H_0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_H_1,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_H_2,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,12.5,12.5,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_H_3,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,12.5,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_H_4,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_H_5,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_R_0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,27.5,27.5,27.5,27.5,27.5,27.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,0.0,22.5,22.5,22.5,22.5,22.5,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_R_1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,27.5,27.5,27.5,27.5,27.5,27.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,22.5,0.0,22.5,22.5,22.5,22.5,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_R_2,0.0,0.0,0.0,0.0,0.0,0.0,2.5,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,2.5,27.5,27.5,27.5,27.5,27.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,22.5,22.5,0.0,22.5,22.5,22.5,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_R_3,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,2.5,2.5,27.5,27.5,27.5,27.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,22.5,22.5,22.5,0.0,22.5,22.5,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_R_4,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,2.5,2.5,2.5,27.5,27.5,27.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,22.5,22.5,22.5,22.5,0.0,22.5,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_R_5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,2.5,2.5,2.5,2.5,27.5,27.5,12.5,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,22.5,22.5,22.5,22.5,22.5,0.0,20.0,20.0,20.0,20.0,20.0,20.0
x_O22_M_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25.0,12.5,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0
x_O22_M_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,25.0,25.0,12.5,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0
x_O22_M_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,12.5,0.0,12.5,12.5,12.5,12.5,12.5,25.0,25.0,25.0,12.5,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0
x_O22_M_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.5,12.5,12.5,12.5,25.0,25.0,25.0,25.0,12.5,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0
x_O22_M_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,12.5,12.5,12.5,25.0,25.0,25.0,25.0,25.0,12.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,20.0
x_O22_M_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,12.5,12.5,25.0,25.0,25.0,25.0,25.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0
