i,j,coefficient,var_i,var_j,term_type
14,16,30.0,x_o0_r2_human_t3,x_o1_r0_machine_a_t0,quadratic
14,17,30.0,x_o0_r2_human_t3,x_o1_r0_machine_a_t1,quadratic
14,18,30.0,x_o0_r2_human_t3,x_o1_r0_machine_a_t2,quadratic
14,19,30.0,x_o0_r2_human_t3,x_o1_r0_machine_a_t3,quadratic
14,20,30.0,x_o0_r2_human_t3,x_o1_r0_machine_a_t4,quadratic
14,21,30.0,x_o0_r2_human_t3,x_o1_r1_machine_b_t0,quadratic
14,22,30.0,x_o0_r2_human_t3,x_o1_r1_machine_b_t1,quadratic
14,23,30.0,x_o0_r2_human_t3,x_o1_r1_machine_b_t2,quadratic
14,24,30.0,x_o0_r2_human_t3,x_o1_r1_machine_b_t3,quadratic
14,25,30.0,x_o0_r2_human_t3,x_o1_r1_machine_b_t4,quadratic
14,27,32.0,x_o0_r2_human_t3,x_o1_r2_human_t0,quadratic
14,28,32.0,x_o0_r2_human_t3,x_o1_r2_human_t1,quadratic
14,29,62.0,x_o0_r2_human_t3,x_o1_r2_human_t2,quadratic
14,30,62.0,x_o0_r2_human_t3,x_o1_r2_human_t3,quadratic
14,31,62.0,x_o0_r2_human_t3,x_o1_r2_human_t4,quadratic
14,43,2.0,x_o0_r2_human_t3,x_o2_r2_human_t0,quadratic
14,44,2.0,x_o0_r2_human_t3,x_o2_r2_human_t1,quadratic
14,45,2.0,x_o0_r2_human_t3,x_o2_r2_human_t2,quadratic
14,46,32.0,x_o0_r2_human_t3,x_o2_r2_human_t3,quadratic
14,47,32.0,x_o0_r2_human_t3,x_o2_r2_human_t4,quadratic
14,48,2.0,x_o0_r2_human_t3,x_o2_r2_human_t5,quadratic
15,15,-28.5,x_o0_r2_human_t4,x_o0_r2_human_t4,linear
15,16,30.0,x_o0_r2_human_t4,x_o1_r0_machine_a_t0,quadratic
15,17,30.0,x_o0_r2_human_t4,x_o1_r0_machine_a_t1,quadratic
15,18,30.0,x_o0_r2_human_t4,x_o1_r0_machine_a_t2,quadratic
15,19,30.0,x_o0_r2_human_t4,x_o1_r0_machine_a_t3,quadratic
15,20,30.0,x_o0_r2_human_t4,x_o1_r0_machine_a_t4,quadratic
15,21,30.0,x_o0_r2_human_t4,x_o1_r1_machine_b_t0,quadratic
15,22,30.0,x_o0_r2_human_t4,x_o1_r1_machine_b_t1,quadratic
15,23,30.0,x_o0_r2_human_t4,x_o1_r1_machine_b_t2,quadratic
15,24,30.0,x_o0_r2_human_t4,x_o1_r1_machine_b_t3,quadratic
15,25,30.0,x_o0_r2_human_t4,x_o1_r1_machine_b_t4,quadratic
15,26,30.0,x_o0_r2_human_t4,x_o1_r1_machine_b_t5,quadratic
15,27,32.0,x_o0_r2_human_t4,x_o1_r2_human_t0,quadratic
15,28,32.0,x_o0_r2_human_t4,x_o1_r2_human_t1,quadratic
15,29,32.0,x_o0_r2_human_t4,x_o1_r2_human_t2,quadratic
15,30,62.0,x_o0_r2_human_t4,x_o1_r2_human_t3,quadratic
15,31,62.0,x_o0_r2_human_t4,x_o1_r2_human_t4,quadratic
15,43,2.0,x_o0_r2_human_t4,x_o2_r2_human_t0,quadratic
15,44,2.0,x_o0_r2_human_t4,x_o2_r2_human_t1,quadratic
15,45,2.0,x_o0_r2_human_t4,x_o2_r2_human_t2,quadratic
15,46,2.0,x_o0_r2_human_t4,x_o2_r2_human_t3,quadratic
15,47,32.0,x_o0_r2_human_t4,x_o2_r2_human_t4,quadratic
15,48,32.0,x_o0_r2_human_t4,x_o2_r2_human_t5,quadratic
16,16,-27.4,x_o1_r0_machine_a_t0,x_o1_r0_machine_a_t0,linear
16,17,60.0,x_o1_r0_machine_a_t0,x_o1_r0_machine_a_t1,quadratic
16,18,60.0,x_o1_r0_machine_a_t0,x_o1_r0_machine_a_t2,quadratic
16,19,60.0,x_o1_r0_machine_a_t0,x_o1_r0_machine_a_t3,quadratic
16,20,60.0,x_o1_r0_machine_a_t0,x_o1_r0_machine_a_t4,quadratic
16,21,60.0,x_o1_r0_machine_a_t0,x_o1_r1_machine_b_t0,quadratic
16,22,60.0,x_o1_r0_machine_a_t0,x_o1_r1_machine_b_t1,quadratic
16,23,60.0,x_o1_r0_machine_a_t0,x_o1_r1_machine_b_t2,quadratic
16,24,60.0,x_o1_r0_machine_a_t0,x_o1_r1_machine_b_t3,quadratic
16,25,60.0,x_o1_r0_machine_a_t0,x_o1_r1_machine_b_t4,quadratic
16,26,60.0,x_o1_r0_machine_a_t0,x_o1_r1_machine_b_t5,quadratic
16,27,60.0,x_o1_r0_machine_a_t0,x_o1_r2_human_t0,quadratic
16,28,60.0,x_o1_r0_machine_a_t0,x_o1_r2_human_t1,quadratic
16,29,60.0,x_o1_r0_machine_a_t0,x_o1_r2_human_t2,quadratic
16,30,60.0,x_o1_r0_machine_a_t0,x_o1_r2_human_t3,quadratic
16,31,60.0,x_o1_r0_machine_a_t0,x_o1_r2_human_t4,quadratic
16,32,60.0,x_o1_r0_machine_a_t0,x_o2_r0_machine_a_t0,quadratic
16,33,60.0,x_o1_r0_machine_a_t0,x_o2_r0_machine_a_t1,quadratic
16,38,30.0,x_o1_r0_machine_a_t0,x_o2_r1_machine_b_t0,quadratic
16,39,30.0,x_o1_r0_machine_a_t0,x_o2_r1_machine_b_t1,quadratic
16,43,30.0,x_o1_r0_machine_a_t0,x_o2_r2_human_t0,quadratic
16,44,30.0,x_o1_r0_machine_a_t0,x_o2_r2_human_t1,quadratic
17,17,-27.25,x_o1_r0_machine_a_t1,x_o1_r0_machine_a_t1,linear
17,18,60.0,x_o1_r0_machine_a_t1,x_o1_r0_machine_a_t2,quadratic
17,19,60.0,x_o1_r0_machine_a_t1,x_o1_r0_machine_a_t3,quadratic
17,20,60.0,x_o1_r0_machine_a_t1,x_o1_r0_machine_a_t4,quadratic
17,21,60.0,x_o1_r0_machine_a_t1,x_o1_r1_machine_b_t0,quadratic
17,22,60.0,x_o1_r0_machine_a_t1,x_o1_r1_machine_b_t1,quadratic
17,23,60.0,x_o1_r0_machine_a_t1,x_o1_r1_machine_b_t2,quadratic
17,24,60.0,x_o1_r0_machine_a_t1,x_o1_r1_machine_b_t3,quadratic
17,25,60.0,x_o1_r0_machine_a_t1,x_o1_r1_machine_b_t4,quadratic
17,26,60.0,x_o1_r0_machine_a_t1,x_o1_r1_machine_b_t5,quadratic
17,27,60.0,x_o1_r0_machine_a_t1,x_o1_r2_human_t0,quadratic
17,28,60.0,x_o1_r0_machine_a_t1,x_o1_r2_human_t1,quadratic
17,29,60.0,x_o1_r0_machine_a_t1,x_o1_r2_human_t2,quadratic
17,30,60.0,x_o1_r0_machine_a_t1,x_o1_r2_human_t3,quadratic
17,31,60.0,x_o1_r0_machine_a_t1,x_o1_r2_human_t4,quadratic
17,32,30.0,x_o1_r0_machine_a_t1,x_o2_r0_machine_a_t0,quadratic
17,33,60.0,x_o1_r0_machine_a_t1,x_o2_r0_machine_a_t1,quadratic
17,34,60.0,x_o1_r0_machine_a_t1,x_o2_r0_machine_a_t2,quadratic
17,38,30.0,x_o1_r0_machine_a_t1,x_o2_r1_machine_b_t0,quadratic
17,39,30.0,x_o1_r0_machine_a_t1,x_o2_r1_machine_b_t1,quadratic
17,40,30.0,x_o1_r0_machine_a_t1,x_o2_r1_machine_b_t2,quadratic
17,43,30.0,x_o1_r0_machine_a_t1,x_o2_r2_human_t0,quadratic
17,44,30.0,x_o1_r0_machine_a_t1,x_o2_r2_human_t1,quadratic
17,45,30.0,x_o1_r0_machine_a_t1,x_o2_r2_human_t2,quadratic
18,18,-27.1,x_o1_r0_machine_a_t2,x_o1_r0_machine_a_t2,linear
18,19,60.0,x_o1_r0_machine_a_t2,x_o1_r0_machine_a_t3,quadratic
18,20,60.0,x_o1_r0_machine_a_t2,x_o1_r0_machine_a_t4,quadratic
18,21,60.0,x_o1_r0_machine_a_t2,x_o1_r1_machine_b_t0,quadratic
18,22,60.0,x_o1_r0_machine_a_t2,x_o1_r1_machine_b_t1,quadratic
18,23,60.0,x_o1_r0_machine_a_t2,x_o1_r1_machine_b_t2,quadratic
18,24,60.0,x_o1_r0_machine_a_t2,x_o1_r1_machine_b_t3,quadratic
18,25,60.0,x_o1_r0_machine_a_t2,x_o1_r1_machine_b_t4,quadratic
18,26,60.0,x_o1_r0_machine_a_t2,x_o1_r1_machine_b_t5,quadratic
18,27,60.0,x_o1_r0_machine_a_t2,x_o1_r2_human_t0,quadratic
18,28,60.0,x_o1_r0_machine_a_t2,x_o1_r2_human_t1,quadratic
18,29,60.0,x_o1_r0_machine_a_t2,x_o1_r2_human_t2,quadratic
18,30,60.0,x_o1_r0_machine_a_t2,x_o1_r2_human_t3,quadratic
18,31,60.0,x_o1_r0_machine_a_t2,x_o1_r2_human_t4,quadratic
18,32,30.0,x_o1_r0_machine_a_t2,x_o2_r0_machine_a_t0,quadratic
18,33,30.0,x_o1_r0_machine_a_t2,x_o2_r0_machine_a_t1,quadratic
18,34,60.0,x_o1_r0_machine_a_t2,x_o2_r0_machine_a_t2,quadratic
18,35,60.0,x_o1_r0_machine_a_t2,x_o2_r0_machine_a_t3,quadratic
18,38,30.0,x_o1_r0_machine_a_t2,x_o2_r1_machine_b_t0,quadratic
18,39,30.0,x_o1_r0_machine_a_t2,x_o2_r1_machine_b_t1,quadratic
18,40,30.0,x_o1_r0_machine_a_t2,x_o2_r1_machine_b_t2,quadratic
18,41,30.0,x_o1_r0_machine_a_t2,x_o2_r1_machine_b_t3,quadratic
18,43,30.0,x_o1_r0_machine_a_t2,x_o2_r2_human_t0,quadratic
18,44,30.0,x_o1_r0_machine_a_t2,x_o2_r2_human_t1,quadratic
18,45,30.0,x_o1_r0_machine_a_t2,x_o2_r2_human_t2,quadratic
18,46,30.0,x_o1_r0_machine_a_t2,x_o2_r2_human_t3,quadratic
19,19,-26.95,x_o1_r0_machine_a_t3,x_o1_r0_machine_a_t3,linear
19,20,60.0,x_o1_r0_machine_a_t3,x_o1_r0_machine_a_t4,quadratic
19,21,60.0,x_o1_r0_machine_a_t3,x_o1_r1_machine_b_t0,quadratic
19,22,60.0,x_o1_r0_machine_a_t3,x_o1_r1_machine_b_t1,quadratic
19,23,60.0,x_o1_r0_machine_a_t3,x_o1_r1_machine_b_t2,quadratic
19,24,60.0,x_o1_r0_machine_a_t3,x_o1_r1_machine_b_t3,quadratic
19,25,60.0,x_o1_r0_machine_a_t3,x_o1_r1_machine_b_t4,quadratic
19,26,60.0,x_o1_r0_machine_a_t3,x_o1_r1_machine_b_t5,quadratic
19,27,60.0,x_o1_r0_machine_a_t3,x_o1_r2_human_t0,quadratic
19,28,60.0,x_o1_r0_machine_a_t3,x_o1_r2_human_t1,quadratic
19,29,60.0,x_o1_r0_machine_a_t3,x_o1_r2_human_t2,quadratic
19,30,60.0,x_o1_r0_machine_a_t3,x_o1_r2_human_t3,quadratic
19,31,60.0,x_o1_r0_machine_a_t3,x_o1_r2_human_t4,quadratic
19,32,30.0,x_o1_r0_machine_a_t3,x_o2_r0_machine_a_t0,quadratic
19,33,30.0,x_o1_r0_machine_a_t3,x_o2_r0_machine_a_t1,quadratic
19,34,30.0,x_o1_r0_machine_a_t3,x_o2_r0_machine_a_t2,quadratic
19,35,60.0,x_o1_r0_machine_a_t3,x_o2_r0_machine_a_t3,quadratic
19,36,60.0,x_o1_r0_machine_a_t3,x_o2_r0_machine_a_t4,quadratic
19,38,30.0,x_o1_r0_machine_a_t3,x_o2_r1_machine_b_t0,quadratic
19,39,30.0,x_o1_r0_machine_a_t3,x_o2_r1_machine_b_t1,quadratic
19,40,30.0,x_o1_r0_machine_a_t3,x_o2_r1_machine_b_t2,quadratic
19,41,30.0,x_o1_r0_machine_a_t3,x_o2_r1_machine_b_t3,quadratic
19,42,30.0,x_o1_r0_machine_a_t3,x_o2_r1_machine_b_t4,quadratic
19,43,30.0,x_o1_r0_machine_a_t3,x_o2_r2_human_t0,quadratic
19,44,30.0,x_o1_r0_machine_a_t3,x_o2_r2_human_t1,quadratic
19,45,30.0,x_o1_r0_machine_a_t3,x_o2_r2_human_t2,quadratic
19,46,30.0,x_o1_r0_machine_a_t3,x_o2_r2_human_t3,quadratic
19,47,30.0,x_o1_r0_machine_a_t3,x_o2_r2_human_t4,quadratic
20,20,-26.8,x_o1_r0_machine_a_t4,x_o1_r0_machine_a_t4,linear
20,21,60.0,x_o1_r0_machine_a_t4,x_o1_r1_machine_b_t0,quadratic
20,22,60.0,x_o1_r0_machine_a_t4,x_o1_r1_machine_b_t1,quadratic
20,23,60.0,x_o1_r0_machine_a_t4,x_o1_r1_machine_b_t2,quadratic
20,24,60.0,x_o1_r0_machine_a_t4,x_o1_r1_machine_b_t3,quadratic
20,25,60.0,x_o1_r0_machine_a_t4,x_o1_r1_machine_b_t4,quadratic
20,26,60.0,x_o1_r0_machine_a_t4,x_o1_r1_machine_b_t5,quadratic
20,27,60.0,x_o1_r0_machine_a_t4,x_o1_r2_human_t0,quadratic
20,28,60.0,x_o1_r0_machine_a_t4,x_o1_r2_human_t1,quadratic
20,29,60.0,x_o1_r0_machine_a_t4,x_o1_r2_human_t2,quadratic
20,30,60.0,x_o1_r0_machine_a_t4,x_o1_r2_human_t3,quadratic
20,31,60.0,x_o1_r0_machine_a_t4,x_o1_r2_human_t4,quadratic
20,32,30.0,x_o1_r0_machine_a_t4,x_o2_r0_machine_a_t0,quadratic
20,33,30.0,x_o1_r0_machine_a_t4,x_o2_r0_machine_a_t1,quadratic
20,34,30.0,x_o1_r0_machine_a_t4,x_o2_r0_machine_a_t2,quadratic
20,35,30.0,x_o1_r0_machine_a_t4,x_o2_r0_machine_a_t3,quadratic
20,36,60.0,x_o1_r0_machine_a_t4,x_o2_r0_machine_a_t4,quadratic
20,37,60.0,x_o1_r0_machine_a_t4,x_o2_r0_machine_a_t5,quadratic
20,38,30.0,x_o1_r0_machine_a_t4,x_o2_r1_machine_b_t0,quadratic
20,39,30.0,x_o1_r0_machine_a_t4,x_o2_r1_machine_b_t1,quadratic
20,40,30.0,x_o1_r0_machine_a_t4,x_o2_r1_machine_b_t2,quadratic
20,41,30.0,x_o1_r0_machine_a_t4,x_o2_r1_machine_b_t3,quadratic
20,42,30.0,x_o1_r0_machine_a_t4,x_o2_r1_machine_b_t4,quadratic
20,43,30.0,x_o1_r0_machine_a_t4,x_o2_r2_human_t0,quadratic
20,44,30.0,x_o1_r0_machine_a_t4,x_o2_r2_human_t1,quadratic
20,45,30.0,x_o1_r0_machine_a_t4,x_o2_r2_human_t2,quadratic
20,46,30.0,x_o1_r0_machine_a_t4,x_o2_r2_human_t3,quadratic
20,47,30.0,x_o1_r0_machine_a_t4,x_o2_r2_human_t4,quadratic
20,48,30.0,x_o1_r0_machine_a_t4,x_o2_r2_human_t5,quadratic
21,21,-27.8,x_o1_r1_machine_b_t0,x_o1_r1_machine_b_t0,linear
21,22,60.0,x_o1_r1_machine_b_t0,x_o1_r1_machine_b_t1,quadratic
21,23,60.0,x_o1_r1_machine_b_t0,x_o1_r1_machine_b_t2,quadratic
21,24,60.0,x_o1_r1_machine_b_t0,x_o1_r1_machine_b_t3,quadratic
21,25,60.0,x_o1_r1_machine_b_t0,x_o1_r1_machine_b_t4,quadratic
21,26,60.0,x_o1_r1_machine_b_t0,x_o1_r1_machine_b_t5,quadratic
21,27,60.0,x_o1_r1_machine_b_t0,x_o1_r2_human_t0,quadratic
21,28,60.0,x_o1_r1_machine_b_t0,x_o1_r2_human_t1,quadratic
21,29,60.0,x_o1_r1_machine_b_t0,x_o1_r2_human_t2,quadratic
21,30,60.0,x_o1_r1_machine_b_t0,x_o1_r2_human_t3,quadratic
21,31,60.0,x_o1_r1_machine_b_t0,x_o1_r2_human_t4,quadratic
21,32,30.0,x_o1_r1_machine_b_t0,x_o2_r0_machine_a_t0,quadratic
21,38,60.0,x_o1_r1_machine_b_t0,x_o2_r1_machine_b_t0,quadratic
21,43,30.0,x_o1_r1_machine_b_t0,x_o2_r2_human_t0,quadratic
22,22,-27.65,x_o1_r1_machine_b_t1,x_o1_r1_machine_b_t1,linear
22,23,60.0,x_o1_r1_machine_b_t1,x_o1_r1_machine_b_t2,quadratic
22,24,60.0,x_o1_r1_machine_b_t1,x_o1_r1_machine_b_t3,quadratic
22,25,60.0,x_o1_r1_machine_b_t1,x_o1_r1_machine_b_t4,quadratic
22,26,60.0,x_o1_r1_machine_b_t1,x_o1_r1_machine_b_t5,quadratic
22,27,60.0,x_o1_r1_machine_b_t1,x_o1_r2_human_t0,quadratic
22,28,60.0,x_o1_r1_machine_b_t1,x_o1_r2_human_t1,quadratic
22,29,60.0,x_o1_r1_machine_b_t1,x_o1_r2_human_t2,quadratic
22,30,60.0,x_o1_r1_machine_b_t1,x_o1_r2_human_t3,quadratic
22,31,60.0,x_o1_r1_machine_b_t1,x_o1_r2_human_t4,quadratic
22,32,30.0,x_o1_r1_machine_b_t1,x_o2_r0_machine_a_t0,quadratic
22,33,30.0,x_o1_r1_machine_b_t1,x_o2_r0_machine_a_t1,quadratic
22,38,60.0,x_o1_r1_machine_b_t1,x_o2_r1_machine_b_t0,quadratic
22,39,60.0,x_o1_r1_machine_b_t1,x_o2_r1_machine_b_t1,quadratic
22,43,30.0,x_o1_r1_machine_b_t1,x_o2_r2_human_t0,quadratic
22,44,30.0,x_o1_r1_machine_b_t1,x_o2_r2_human_t1,quadratic
23,23,-27.5,x_o1_r1_machine_b_t2,x_o1_r1_machine_b_t2,linear
23,24,60.0,x_o1_r1_machine_b_t2,x_o1_r1_machine_b_t3,quadratic
23,25,60.0,x_o1_r1_machine_b_t2,x_o1_r1_machine_b_t4,quadratic
23,26,60.0,x_o1_r1_machine_b_t2,x_o1_r1_machine_b_t5,quadratic
23,27,60.0,x_o1_r1_machine_b_t2,x_o1_r2_human_t0,quadratic
23,28,60.0,x_o1_r1_machine_b_t2,x_o1_r2_human_t1,quadratic
23,29,60.0,x_o1_r1_machine_b_t2,x_o1_r2_human_t2,quadratic
23,30,60.0,x_o1_r1_machine_b_t2,x_o1_r2_human_t3,quadratic
23,31,60.0,x_o1_r1_machine_b_t2,x_o1_r2_human_t4,quadratic
23,32,30.0,x_o1_r1_machine_b_t2,x_o2_r0_machine_a_t0,quadratic
23,33,30.0,x_o1_r1_machine_b_t2,x_o2_r0_machine_a_t1,quadratic
23,34,30.0,x_o1_r1_machine_b_t2,x_o2_r0_machine_a_t2,quadratic
23,38,30.0,x_o1_r1_machine_b_t2,x_o2_r1_machine_b_t0,quadratic
23,39,60.0,x_o1_r1_machine_b_t2,x_o2_r1_machine_b_t1,quadratic
23,40,60.0,x_o1_r1_machine_b_t2,x_o2_r1_machine_b_t2,quadratic
23,43,30.0,x_o1_r1_machine_b_t2,x_o2_r2_human_t0,quadratic
23,44,30.0,x_o1_r1_machine_b_t2,x_o2_r2_human_t1,quadratic
23,45,30.0,x_o1_r1_machine_b_t2,x_o2_r2_human_t2,quadratic
24,24,-27.35,x_o1_r1_machine_b_t3,x_o1_r1_machine_b_t3,linear
24,25,60.0,x_o1_r1_machine_b_t3,x_o1_r1_machine_b_t4,quadratic
24,26,60.0,x_o1_r1_machine_b_t3,x_o1_r1_machine_b_t5,quadratic
24,27,60.0,x_o1_r1_machine_b_t3,x_o1_r2_human_t0,quadratic
24,28,60.0,x_o1_r1_machine_b_t3,x_o1_r2_human_t1,quadratic
24,29,60.0,x_o1_r1_machine_b_t3,x_o1_r2_human_t2,quadratic
24,30,60.0,x_o1_r1_machine_b_t3,x_o1_r2_human_t3,quadratic
24,31,60.0,x_o1_r1_machine_b_t3,x_o1_r2_human_t4,quadratic
24,32,30.0,x_o1_r1_machine_b_t3,x_o2_r0_machine_a_t0,quadratic
24,33,30.0,x_o1_r1_machine_b_t3,x_o2_r0_machine_a_t1,quadratic
24,34,30.0,x_o1_r1_machine_b_t3,x_o2_r0_machine_a_t2,quadratic
24,35,30.0,x_o1_r1_machine_b_t3,x_o2_r0_machine_a_t3,quadratic
24,38,30.0,x_o1_r1_machine_b_t3,x_o2_r1_machine_b_t0,quadratic
24,39,30.0,x_o1_r1_machine_b_t3,x_o2_r1_machine_b_t1,quadratic
24,40,60.0,x_o1_r1_machine_b_t3,x_o2_r1_machine_b_t2,quadratic
24,41,60.0,x_o1_r1_machine_b_t3,x_o2_r1_machine_b_t3,quadratic
24,43,30.0,x_o1_r1_machine_b_t3,x_o2_r2_human_t0,quadratic
24,44,30.0,x_o1_r1_machine_b_t3,x_o2_r2_human_t1,quadratic
24,45,30.0,x_o1_r1_machine_b_t3,x_o2_r2_human_t2,quadratic
24,46,30.0,x_o1_r1_machine_b_t3,x_o2_r2_human_t3,quadratic
25,25,-27.2,x_o1_r1_machine_b_t4,x_o1_r1_machine_b_t4,linear
25,26,60.0,x_o1_r1_machine_b_t4,x_o1_r1_machine_b_t5,quadratic
25,27,60.0,x_o1_r1_machine_b_t4,x_o1_r2_human_t0,quadratic
25,28,60.0,x_o1_r1_machine_b_t4,x_o1_r2_human_t1,quadratic
25,29,60.0,x_o1_r1_machine_b_t4,x_o1_r2_human_t2,quadratic
25,30,60.0,x_o1_r1_machine_b_t4,x_o1_r2_human_t3,quadratic
25,31,60.0,x_o1_r1_machine_b_t4,x_o1_r2_human_t4,quadratic
25,32,30.0,x_o1_r1_machine_b_t4,x_o2_r0_machine_a_t0,quadratic
25,33,30.0,x_o1_r1_machine_b_t4,x_o2_r0_machine_a_t1,quadratic
25,34,30.0,x_o1_r1_machine_b_t4,x_o2_r0_machine_a_t2,quadratic
25,35,30.0,x_o1_r1_machine_b_t4,x_o2_r0_machine_a_t3,quadratic
25,36,30.0,x_o1_r1_machine_b_t4,x_o2_r0_machine_a_t4,quadratic
25,38,30.0,x_o1_r1_machine_b_t4,x_o2_r1_machine_b_t0,quadratic
25,39,30.0,x_o1_r1_machine_b_t4,x_o2_r1_machine_b_t1,quadratic
25,40,30.0,x_o1_r1_machine_b_t4,x_o2_r1_machine_b_t2,quadratic
25,41,60.0,x_o1_r1_machine_b_t4,x_o2_r1_machine_b_t3,quadratic
25,42,60.0,x_o1_r1_machine_b_t4,x_o2_r1_machine_b_t4,quadratic
25,43,30.0,x_o1_r1_machine_b_t4,x_o2_r2_human_t0,quadratic
25,44,30.0,x_o1_r1_machine_b_t4,x_o2_r2_human_t1,quadratic
25,45,30.0,x_o1_r1_machine_b_t4,x_o2_r2_human_t2,quadratic
25,46,30.0,x_o1_r1_machine_b_t4,x_o2_r2_human_t3,quadratic
25,47,30.0,x_o1_r1_machine_b_t4,x_o2_r2_human_t4,quadratic
26,26,-27.05,x_o1_r1_machine_b_t5,x_o1_r1_machine_b_t5,linear
26,27,60.0,x_o1_r1_machine_b_t5,x_o1_r2_human_t0,quadratic
26,28,60.0,x_o1_r1_machine_b_t5,x_o1_r2_human_t1,quadratic
26,29,60.0,x_o1_r1_machine_b_t5,x_o1_r2_human_t2,quadratic
26,30,60.0,x_o1_r1_machine_b_t5,x_o1_r2_human_t3,quadratic
26,31,60.0,x_o1_r1_machine_b_t5,x_o1_r2_human_t4,quadratic
26,32,30.0,x_o1_r1_machine_b_t5,x_o2_r0_machine_a_t0,quadratic
26,33,30.0,x_o1_r1_machine_b_t5,x_o2_r0_machine_a_t1,quadratic
26,34,30.0,x_o1_r1_machine_b_t5,x_o2_r0_machine_a_t2,quadratic
26,35,30.0,x_o1_r1_machine_b_t5,x_o2_r0_machine_a_t3,quadratic
26,36,30.0,x_o1_r1_machine_b_t5,x_o2_r0_machine_a_t4,quadratic
26,37,30.0,x_o1_r1_machine_b_t5,x_o2_r0_machine_a_t5,quadratic
26,38,30.0,x_o1_r1_machine_b_t5,x_o2_r1_machine_b_t0,quadratic
26,39,30.0,x_o1_r1_machine_b_t5,x_o2_r1_machine_b_t1,quadratic
26,40,30.0,x_o1_r1_machine_b_t5,x_o2_r1_machine_b_t2,quadratic
26,41,30.0,x_o1_r1_machine_b_t5,x_o2_r1_machine_b_t3,quadratic
26,42,60.0,x_o1_r1_machine_b_t5,x_o2_r1_machine_b_t4,quadratic
26,43,30.0,x_o1_r1_machine_b_t5,x_o2_r2_human_t0,quadratic
26,44,30.0,x_o1_r1_machine_b_t5,x_o2_r2_human_t1,quadratic
26,45,30.0,x_o1_r1_machine_b_t5,x_o2_r2_human_t2,quadratic
26,46,30.0,x_o1_r1_machine_b_t5,x_o2_r2_human_t3,quadratic
26,47,30.0,x_o1_r1_machine_b_t5,x_o2_r2_human_t4,quadratic
26,48,30.0,x_o1_r1_machine_b_t5,x_o2_r2_human_t5,quadratic
27,27,-28.1,x_o1_r2_human_t0,x_o1_r2_human_t0,linear
27,28,62.0,x_o1_r2_human_t0,x_o1_r2_human_t1,quadratic
27,29,62.0,x_o1_r2_human_t0,x_o1_r2_human_t2,quadratic
27,30,62.0,x_o1_r2_human_t0,x_o1_r2_human_t3,quadratic
27,31,62.0,x_o1_r2_human_t0,x_o1_r2_human_t4,quadratic
27,32,30.0,x_o1_r2_human_t0,x_o2_r0_machine_a_t0,quadratic
27,33,30.0,x_o1_r2_human_t0,x_o2_r0_machine_a_t1,quadratic
27,38,30.0,x_o1_r2_human_t0,x_o2_r1_machine_b_t0,quadratic
27,39,30.0,x_o1_r2_human_t0,x_o2_r1_machine_b_t1,quadratic
27,43,62.0,x_o1_r2_human_t0,x_o2_r2_human_t0,quadratic
27,44,62.0,x_o1_r2_human_t0,x_o2_r2_human_t1,quadratic
27,45,2.0,x_o1_r2_human_t0,x_o2_r2_human_t2,quadratic
27,46,2.0,x_o1_r2_human_t0,x_o2_r2_human_t3,quadratic
27,47,2.0,x_o1_r2_human_t0,x_o2_r2_human_t4,quadratic
27,48,2.0,x_o1_r2_human_t0,x_o2_r2_human_t5,quadratic
28,28,-27.95,x_o1_r2_human_t1,x_o1_r2_human_t1,linear
28,29,62.0,x_o1_r2_human_t1,x_o1_r2_human_t2,quadratic
28,30,62.0,x_o1_r2_human_t1,x_o1_r2_human_t3,quadratic
28,31,62.0,x_o1_r2_human_t1,x_o1_r2_human_t4,quadratic
28,32,30.0,x_o1_r2_human_t1,x_o2_r0_machine_a_t0,quadratic
28,33,30.0,x_o1_r2_human_t1,x_o2_r0_machine_a_t1,quadratic
28,34,30.0,x_o1_r2_human_t1,x_o2_r0_machine_a_t2,quadratic
28,38,30.0,x_o1_r2_human_t1,x_o2_r1_machine_b_t0,quadratic
28,39,30.0,x_o1_r2_human_t1,x_o2_r1_machine_b_t1,quadratic
28,40,30.0,x_o1_r2_human_t1,x_o2_r1_machine_b_t2,quadratic
28,43,32.0,x_o1_r2_human_t1,x_o2_r2_human_t0,quadratic
28,44,62.0,x_o1_r2_human_t1,x_o2_r2_human_t1,quadratic
28,45,62.0,x_o1_r2_human_t1,x_o2_r2_human_t2,quadratic
28,46,2.0,x_o1_r2_human_t1,x_o2_r2_human_t3,quadratic
28,47,2.0,x_o1_r2_human_t1,x_o2_r2_human_t4,quadratic
28,48,2.0,x_o1_r2_human_t1,x_o2_r2_human_t5,quadratic
29,29,-27.8,x_o1_r2_human_t2,x_o1_r2_human_t2,linear
29,30,62.0,x_o1_r2_human_t2,x_o1_r2_human_t3,quadratic
29,31,62.0,x_o1_r2_human_t2,x_o1_r2_human_t4,quadratic
29,32,30.0,x_o1_r2_human_t2,x_o2_r0_machine_a_t0,quadratic
29,33,30.0,x_o1_r2_human_t2,x_o2_r0_machine_a_t1,quadratic
29,34,30.0,x_o1_r2_human_t2,x_o2_r0_machine_a_t2,quadratic
29,35,30.0,x_o1_r2_human_t2,x_o2_r0_machine_a_t3,quadratic
29,38,30.0,x_o1_r2_human_t2,x_o2_r1_machine_b_t0,quadratic
29,39,30.0,x_o1_r2_human_t2,x_o2_r1_machine_b_t1,quadratic
